method,path,router,function,access_type,identity_dependency,permission,ownership,actor,public_intentional,test_401,test_403,test_ownership,finding
GET,/api/certificates/{certificate_id},certificates,get_certificate_by_id,authenticated_permission,access_jwt,certificates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/certificates/{certificate_id},certificates,patch_certificate,authenticated_permission,access_jwt,certificates.capture,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/approve,certificates,approve_certificate,authenticated_permission,access_jwt,certificates.approve,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/authenticate,certificates,authenticate_certificate,authenticated_permission,access_jwt,certificates.approve,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/certificates/{certificate_id}/authenticated-pdf,certificates,get_authenticated_certificate_pdf,authenticated_permission,access_jwt,certificates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/certificates/{certificate_id}/capture-master,certificates,download_certificate_capture_master,authenticated_permission,access_jwt,certificates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/draft,certificates,return_certificate_to_draft,authenticated_permission,access_jwt,certificates.capture,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/generate,certificates,generate_certificate,authenticated_permission,access_jwt,certificates.capture,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/manual-accept-match,certificates,manual_accept_certificate_match,authenticated_permission,access_jwt,certificates.match_override,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/certificates/{certificate_id}/original-pdf,certificates,get_original_certificate_pdf,authenticated_permission,access_jwt,certificates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/quality,certificates,quality_certificate,authenticated_permission,access_jwt,certificates.quality,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/quality-approve,certificates,quality_approve_certificate,authenticated_permission,access_jwt,certificates.approve,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/quality-reject,certificates,quality_reject_certificate,authenticated_permission,access_jwt,certificates.quality,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/release,certificates,release_certificate,authenticated_permission,access_jwt,release.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/release-to-client,certificates,release_certificate_to_client,authenticated_permission,access_jwt,release.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/request-correction,certificates,request_certificate_correction,authenticated_permission,access_jwt,certificates.quality,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/return-to-technician,certificates,return_certificate_to_technician,authenticated_permission,access_jwt,certificates.quality,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/send-to-quality,certificates,send_certificate_to_quality,authenticated_permission,access_jwt,certificates.capture,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/start-capture,certificates,start_certificate_capture,authenticated_permission,access_jwt,certificates.capture,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/suspend,certificates,suspend_certificate,authenticated_permission,access_jwt,certificates.quality,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/upload-pdf,certificates,upload_certificate_final_pdf,authenticated_permission,access_jwt,certificates.upload_pdf,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates/{certificate_id}/validate-pdf-match,certificates,validate_certificate_pdf_match_route,authenticated_permission,access_jwt,certificates.capture,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/client-portal/certificates,client-portal,get_client_portal_certificates,client_portal_ownership,access_jwt+portal_client_context,portal.read,client_id_derived_from_identity,portal_user,no,required,required,required,AUD-002
GET,/api/client-portal/certificates/{certificate_id}/pdf,client-portal,get_client_portal_certificate_pdf,client_portal_ownership,access_jwt+portal_client_context,portal.read,client_id_derived_from_identity,portal_user,no,required,required,required,AUD-002
GET,/api/client-portal/quotations,client-portal,get_client_portal_quotations,client_portal_ownership,access_jwt+portal_client_context,portal.read,client_id_derived_from_identity,portal_user,no,required,required,required,AUD-002
GET,/api/client-portal/service-orders,client-portal,get_client_portal_service_orders,client_portal_ownership,access_jwt+portal_client_context,portal.read,client_id_derived_from_identity,portal_user,no,required,required,required,AUD-002
GET,/api/clients,clients,get_clients,authenticated_permission,access_jwt,clients.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/clients,clients,post_client,authenticated_permission,access_jwt,clients.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/clients/export,clients,export_clients,authenticated_permission,access_jwt,clients.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/clients/import/confirm,clients,confirm_import,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/clients/import/preview,clients,preview_import,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/clients/tax-constancy/preview,clients,preview_constancy,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
DELETE,/api/clients/{client_id},clients,delete_client,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/clients/{client_id},clients,get_client_by_id,authenticated_permission,access_jwt,clients.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/clients/{client_id},clients,patch_client,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/clients/{client_id}/archive,clients,archive_client_by_id,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/clients/{client_id}/certificate-profiles,clients,get_certificate_profiles,authenticated_permission,access_jwt,clients.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/clients/{client_id}/certificate-profiles,clients,post_certificate_profile,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
DELETE,/api/clients/{client_id}/certificate-profiles/{profile_id},clients,delete_certificate_profile,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/clients/{client_id}/certificate-profiles/{profile_id},clients,patch_certificate_profile,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/clients/{client_id}/delete-eligibility,clients,get_delete_eligibility,authenticated_permission,access_jwt,clients.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/clients/{client_id}/restore,clients,restore_client_by_id,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/clients/{client_id}/tax-constancy,clients,post_tax_constancy,authenticated_permission,access_jwt,clients.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/communications/conversations,communications,get_conversations,authenticated_ownership,access_jwt+conversation_context,,conversation_participant,internal_user,no,required,not_applicable,required,
POST,/api/communications/conversations,communications,post_conversation,authenticated_ownership,access_jwt+conversation_context,,conversation_participant,internal_user,no,required,not_applicable,required,
GET,/api/communications/conversations/{conversation_id},communications,get_conversation_detail,authenticated_ownership,access_jwt+conversation_context,,conversation_participant,internal_user,no,required,not_applicable,required,
POST,/api/communications/conversations/{conversation_id}/messages,communications,post_message,authenticated_ownership,access_jwt+conversation_context,,conversation_participant,internal_user,no,required,not_applicable,required,
GET,/api/communications/directory,communications,get_directory,authenticated_ownership,access_jwt+conversation_context,,conversation_participant,internal_user,no,required,not_applicable,required,
GET,/api/developers/resolution-engine,Resolution Engine Public API v1,developer_portal,public_environment_controlled,environment_flag,,,anonymous,yes,not_applicable,not_applicable,not_applicable,AUD-030
GET,/api/document-interpretations,document-interpretations,get_document_interpretations,authenticated_permission,access_jwt,document_interpretations.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/document-interpretations,document-interpretations,post_document_interpretation,authenticated_permission,access_jwt,document_interpretations.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/document-interpretations/{interpretation_id},document-interpretations,get_document_interpretation_by_id,authenticated_permission,access_jwt,document_interpretations.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/document-interpretations/{interpretation_id},document-interpretations,patch_document_interpretation,authenticated_permission,access_jwt,document_interpretations.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/document-interpretations/{interpretation_id}/approve,document-interpretations,post_approve_document_interpretation,authenticated_permission,access_jwt,document_interpretations.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/document-interpretations/{interpretation_id}/new-version,document-interpretations,post_document_interpretation_new_version,authenticated_permission,access_jwt,document_interpretations.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/document-templates/quotation,document-templates,get_quotation_template,authenticated_permission,access_jwt,quotations.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/document-templates/quotation,document-templates,patch_quotation_template,authenticated_permission,access_jwt,quotations.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/document-templates/quotation/restore-defaults,document-templates,restore_quotation_template,authenticated_permission,access_jwt,quotations.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/documents,documents,get_documents,authenticated_permission,access_jwt,documents.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/documents,documents,post_document,authenticated_permission,access_jwt,documents.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/documents/certificate-masters,documents,post_certificate_master,authenticated_permission,access_jwt,documents.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/documents/{document_id},documents,get_document_by_id,authenticated_permission,access_jwt,documents.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/documents/{document_id},documents,patch_document,authenticated_permission,access_jwt,documents.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/documents/{document_id}/archive,documents,patch_archive_document,authenticated_permission,access_jwt,documents.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/documents/{document_id}/versions,documents,post_document_version,authenticated_permission,access_jwt,documents.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/documents/{document_id}/versions/{version_id}/activate,documents,post_activate_document_version,authenticated_permission,access_jwt,documents.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/documents/{document_id}/versions/{version_id}/download,documents,download_document_version,authenticated_permission,access_jwt,documents.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/equipment,equipment,get_equipment_list,authenticated_permission,access_jwt,equipment.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/equipment,equipment,post_equipment,authenticated_permission,access_jwt,equipment.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
DELETE,/api/equipment/{equipment_id},equipment,delete_equipment,authenticated_permission,access_jwt,equipment.delete,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/equipment/{equipment_id},equipment,get_equipment_by_id,authenticated_permission,access_jwt,equipment.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/equipment/{equipment_id},equipment,patch_equipment,authenticated_permission,access_jwt,equipment.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/equipment/{equipment_id}/calibrated,equipment,mark_equipment_calibrated,authenticated_permission,access_jwt,equipment.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/equipment/{equipment_id}/labeled,equipment,mark_equipment_labeled,authenticated_permission,access_jwt,equipment.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/equipment/{equipment_id}/not-done,equipment,mark_equipment_not_done,authenticated_permission,access_jwt,equipment.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/equipment/{equipment_id}/realizing,equipment,mark_equipment_realizing,authenticated_permission,access_jwt,equipment.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/field-sheet-templates,Field Sheet Templates,list_templates,authenticated_permission,access_jwt,field_sheet_templates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/field-sheet-templates,Field Sheet Templates,create_template,authenticated_permission,access_jwt,field_sheet_templates.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/field-sheet-templates/catalog,Field Sheet Templates,get_template_catalog,authenticated_permission,access_jwt,field_sheet_templates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/field-sheet-templates/import,Field Sheet Templates,import_template,authenticated_permission,access_jwt,field_sheet_templates.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
DELETE,/api/field-sheet-templates/{template_id},Field Sheet Templates,remove_template,authenticated_permission,access_jwt,field_sheet_templates.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/field-sheet-templates/{template_id},Field Sheet Templates,patch_template,authenticated_permission,access_jwt,field_sheet_templates.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/field-sheet-templates/{template_id}/activate,Field Sheet Templates,activate_template,authenticated_permission,access_jwt,field_sheet_templates.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/field-sheet-templates/{template_id}/duplicate,Field Sheet Templates,duplicate_template,authenticated_permission,access_jwt,field_sheet_templates.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/field-sheet-templates/{template_id}/export,Field Sheet Templates,export_template,authenticated_permission,access_jwt,field_sheet_templates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/field-sheet-templates/{template_key},Field Sheet Templates,get_template,authenticated_permission,access_jwt,field_sheet_templates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/field-sheets,field-sheets,get_field_sheets,authenticated_permission,access_jwt,field_sheets.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/field-sheets,field-sheets,post_field_sheet,authenticated_permission,access_jwt,field_sheets.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
DELETE,/api/field-sheets/{field_sheet_id},field-sheets,delete_field_sheet,authenticated_permission,access_jwt,field_sheets.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/field-sheets/{field_sheet_id},field-sheets,get_field_sheet_by_id,authenticated_permission,access_jwt,field_sheets.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/field-sheets/{field_sheet_id},field-sheets,patch_field_sheet,authenticated_permission,access_jwt,field_sheets.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/field-sheets/{field_sheet_id}/complete,field-sheets,complete_field_sheet_route,authenticated_permission,access_jwt,field_sheets.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/field-sheets/{field_sheet_id}/pdf,field-sheets,get_field_sheet_pdf,authenticated_permission,access_jwt,field_sheets.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/field-sheets/{field_sheet_id}/review,field-sheets,review_field_sheet_route,authenticated_permission,access_jwt,field_sheets.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/field-sheets/{field_sheet_id}/suggest-patterns,pattern-selection,post_suggest_field_sheet_patterns,authenticated_permission,access_jwt,pattern_selection.execute,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/field-sheets/{field_sheet_id}/validate-selected-patterns,pattern-selection,post_validate_field_sheet_patterns,authenticated_permission,access_jwt,pattern_selection.execute,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/health,health,health_check,public_intentional,none,,,anonymous,yes,not_applicable,not_applicable,not_applicable,
GET,/api/institutional-configuration,institutional-configuration,get_configuration,administrative,access_jwt,settings.institutional.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/institutional-configuration,institutional-configuration,patch_configuration,administrative,access_jwt,settings.institutional.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/integrations/facturama/status,integrations,get_facturama_status,authenticated_permission,access_jwt,integrations.facturama.status,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoice-payments,invoices,read_invoice_payments,authenticated_permission,access_jwt,payments.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoice-payments/{payment_id},invoices,read_invoice_payment,authenticated_permission,access_jwt,payments.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoice-payments/{payment_id}/receipt-pdf,invoices,payment_receipt_pdf,authenticated_permission,access_jwt,payments.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoice-settings,invoices,read_invoice_settings,authenticated_permission,access_jwt,invoices.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/invoice-settings,invoices,patch_invoice_settings,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoices,invoices,read_invoices,authenticated_permission,access_jwt,invoices.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/invoices,invoices,create_invoice_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoices/accounts-receivable,invoices,accounts_receivable,authenticated_permission,access_jwt,invoices.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoices/dashboard,invoices,invoice_dashboard,authenticated_permission,access_jwt,invoices.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoices/released-uninvoiced,invoices,released_uninvoiced,authenticated_permission,access_jwt,invoices.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoices/{invoice_id},invoices,read_invoice,authenticated_permission,access_jwt,invoices.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/invoices/{invoice_id},invoices,update_invoice_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PUT,/api/invoices/{invoice_id},invoices,update_invoice_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/invoices/{invoice_id}/confirm-review,invoices,confirm_invoice_review_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/invoices/{invoice_id}/credit-notes,invoices,create_credit_note_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/invoices/{invoice_id}/facturama-documents/recover,invoices,recover_facturama_documents_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoices/{invoice_id}/facturama-documents/{kind},invoices,facturama_document_route,authenticated_permission,access_jwt,invoices.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoices/{invoice_id}/fiscal-xml,invoices,invoice_fiscal_xml,authenticated_permission,access_jwt,invoices.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/invoices/{invoice_id}/institutional-pdf,invoices,institutional_invoice_pdf,authenticated_permission,access_jwt,invoices.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/invoices/{invoice_id}/issue,invoices,issue_invoice_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/invoices/{invoice_id}/payments,invoices,register_payment_route,authenticated_permission,access_jwt,payments.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/invoices/{invoice_id}/reconcile,invoices,reconcile_invoice_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/invoices/{invoice_id}/source-change,invoices,invoice_source_change_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/invoices/{invoice_id}/status,invoices,change_status_route,authenticated_permission,access_jwt,invoices.manage,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/metrology/calculate-preview,metrology,post_calculate_preview,authenticated_permission,access_jwt,metrology.execute,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/metrology/profiles,metrology,get_profiles,authenticated_permission,access_jwt,metrology.execute,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/modules,modules,get_modules,authenticated,access_jwt,,,internal_user,no,required,not_applicable,not_applicable,
GET,/api/notifications,notifications,get_notifications,authenticated,access_jwt,,,internal_user,no,required,not_applicable,not_applicable,
POST,/api/notifications/read-all,notifications,post_notifications_read_all,authenticated,access_jwt,,,internal_user,no,required,not_applicable,not_applicable,
GET,/api/notifications/unread-count,notifications,get_notifications_unread_count,authenticated,access_jwt,,,internal_user,no,required,not_applicable,not_applicable,
POST,/api/notifications/{notification_id}/read,notifications,post_notification_read,authenticated,access_jwt,,,internal_user,no,required,not_applicable,not_applicable,
